movie_id,director_id,producer_id,box_office_value,cast_id_0,cast_id_1,cast_id_2,cast_id_3,cast_id_4
Q10312965,Q3127850,Q7347712,,Q3751772,Q1803090,Q3220136,Q5314585,Q5086002
Q10313156,Q1332362,,,Q72984,Q95055,Q237221,Q230147,Q180919
Q1031941,Q6504098,,,Q218884,Q1032023,Q204685,,
Q1031262,Q11333,Q298761,,Q705531,Q4978175,Q260909,Q919394,Q201842
Q1031683,Q3343491,,,Q319527,Q2737,Q533171,Q543669,Q274158
Q10319683,Q959677,Q959677,,Q721957,Q209662,Q974943,Q4355416,Q3127630
Q1031953,Q290962,Q364342,,Q436784,Q229276,Q234900,Q83484,Q950397
Q1031248,,,,Q618724,Q3313322,Q542816,Q2120899,Q2902057
Q1029697,Q724478,Q1343838,,Q695500,Q470591,Q809105,Q3723094,Q3960677
Q1031257,Q2964812,Q4756652,,Q43697,Q458375,Q984019,Q542061,Q205868
Q1032177,Q11988191,Q105158,,Q191104,Q443286,Q217137,Q606715,Q3002029
Q1032592,Q5216779,Q5216779,,,,,,
Q1032603,Q3317203,Q749047,,Q351732,Q710876,Q3545136,Q11429932,Q3543645
Q1031705,Q470251,Q4954064,,Q3900912,Q3703291,Q575795,Q241909,Q376140
Q10301808,Q1359422,,,Q551305,Q528653,Q1162115,Q213287,
Q1030728,Q519772,Q516252,,Q212518,Q236253,Q151935,Q108941,Q946984
Q10326180,Q707336,Q707336,,Q319001,Q233859,Q3110914,Q7702179,
Q1032266,Q51123,Q295593,,Q295593,Q661678,Q746201,Q1344801,Q3751804
Q10327034,Q1342878,Q1351511,,Q312084,Q231595,Q1704485,,
Q1031821,Q269796,Q952590,,Q40912,Q95026,Q106001,Q364083,Q3811137
Q10327080,Q4241251,,,Q4197827,Q5866683,Q7322588,Q5890340,Q1876384
Q10329310,Q766091,,,Q10334466,Q766091,,,
Q10328192,Q1893915,Q18538887,,Q436386,Q238671,Q221923,Q266820,Q770059
Q1033094,Q361336,Q298761,,Q351849,Q235607,Q279834,Q6790300,Q941712
Q1032889,Q7408020,Q20638978,,Q711078,Q763772,Q566923,Q1849463,Q890911
Q1033191,Q380608,Q380608,,Q169963,Q229305,Q311232,Q234141,Q267613
Q10332573,Q7372515,,,Q199884,Q267772,Q4120020,Q5411772,Q7363866
Q10332778,Q3021400,Q1526143,,Q1281212,Q982177,Q924567,Q241019,Q3096499
Q10332558,Q19609649,Q5344019,,Q522885,Q5240793,Q110374,Q175908,Q2840625
Q10332951,Q285642,,,Q56016,Q954950,Q84696,Q8251874,Q5077792
Q10333279,Q1384550,,,Q356309,Q3129644,Q445018,,
Q10333142,Q1291693,Q5931736,,Q1281212,Q982177,Q1287517,Q7922109,Q7287413
Q1033304,Q628832,Q357608,,Q252290,Q485557,Q158136,Q2575841,Q258820
Q1033397,Q1333280,,,Q3246736,Q440102,Q1093382,Q2706496,Q1406852
Q10327434,Q3127819,Q3021400,,Q1281212,Q7922109,Q6766248,Q982177,Q5336640
Q1033108,Q323074,Q298761,,Q229784,Q351849,Q361610,Q3554516,Q459933
Q1032727,Q43264,Q259593,,Q401606,Q465820,Q291450,Q10329785,Q1226838
Q1030652,Q436829,Q539718,,Q42101,Q311271,Q309941,Q351812,Q234456
Q1033398,Q721446,Q269895,,Q7922453,Q1027167,,,
Q1033136,Q130092,Q2381285,,Q130092,Q1351652,Q2925490,Q450694,Q3311660
Q10332948,Q513061,,,Q3293960,Q1308174,Q16003718,Q203219,Q3115415
Q1031956,Q1010696,Q775572,,Q53046,Q36949,Q81819,Q133787,Q380685
Q10334090,Q957202,Q7151629,,Q94081,Q242656,Q908998,Q72984,Q84232
Q1033461,Q3703214,Q542003,,Q235972,Q463703,Q1074866,Q259434,Q454081
Q1030295,Q88539,,,Q63062,Q79051,Q330633,Q1744455,Q74173
Q1033396,Q1423140,,,Q5046991,Q6751475,,,
Q1033497,Q6194719,Q15835857,,Q218532,Q312129,Q930117,Q452169,Q545172
Q1033185,Q112182,Q112182,,Q1895135,Q88307,Q26906204,Q27797848,
Q1031387,Q2627090,Q5570395,,Q260241,Q607793,Q105221,Q766825,Q2965902
Q10336513,Q1332362,Q7151629,,Q435236,Q94081,Q1758264,Q386105,Q2481772
Q10335546,Q10271841,Q18470106,,Q6292071,Q6990787,Q5695240,Q10327677,Q10365324
Q10336559,Q113143456,Q1382548,,Q7375294,Q2964885,Q5596173,Q6688544,Q1361949
Q1034224,Q4013022,,,Q2925592,,,,
Q10350030,Q441976,,,Q1757837,Q441976,,,
Q10343906,Q1526143,Q1526143,,Q1281212,Q7599484,Q7922109,Q5699738,Q6211675
Q10342302,Q1354061,Q259593,,Q260092,Q512420,Q12841704,Q10395167,
Q1035093,Q1386207,Q542003,,Q3182914,Q39989,Q1974435,Q4212,Q1150547
Q10339526,Q611112,Q611112,,Q2511027,Q709168,Q6526661,Q2148541,
Q1034978,Q320259,Q6795186,,Q2001604,Q1251819,Q458305,Q291679,Q2428927
Q103474,Q2001,Q2001,190700000.0,Q692979,Q640929,Q1754108,Q967062,Q439778
Q1034984,Q320259,Q6795186,,Q1251819,Q2073200,Q1701025,Q7648277,Q1858592
Q1035124,Q927439,Q7341609,,Q108366,Q162389,Q235989,Q171736,Q313046
Q1035158,Q917051,Q917051,,Q106365,Q12969819,Q16201333,Q5139743,Q6761273
Q10336498,Q1292801,,,Q16472,Q459973,Q3120634,Q3431024,Q5673513
Q1033868,Q577959,Q3392272,,Q945494,Q515048,Q54868786,,
Q10339247,Q685040,,,Q2750612,Q3295539,Q3309911,Q10347478,Q9696979
Q1034060,Q2632767,Q7786739,,Q212518,Q454065,Q1137839,Q7807876,Q186757
Q1035180,Q309715,Q541554,,Q188500,Q512006,Q1198697,Q302335,Q2057091
Q1035545,Q714177,,,Q901257,Q721250,Q601164,Q1107574,Q1160393
Q10352186,Q587102,,,Q601922,Q6773560,Q722395,Q5076865,Q165219
Q1035443,Q282787,Q2224483,,Q191104,Q6111282,Q7397916,Q296008,Q5524113
Q1035248,Q2536001,Q28492396,,Q171736,Q106775,Q232282,Q40791,Q95026
Q10350033,Q1782299,Q217037,794881442.0,Q37175,Q166272,Q134895,Q44467,Q335376
Q1036921,Q1323347,Q11553349,,Q1041713,Q289752,Q1197179,Q1046963,Q1133906
Q10359922,Q1065270,Q1526143,,Q1281212,Q982177,Q924567,Q5533019,Q219521
Q10337179,Q433960,Q4898758,,Q308459,Q190523,Q274158,Q725674,Q725399
Q10371929,Q7817192,,,Q569649,Q16940249,Q10365428,Q10359321,Q10271845
Q10353618,Q113514859,Q6234610,,Q234169,Q102994,Q705183,Q6500627,Q15479218
Q10373130,Q3026615,Q703759,,,,,,
Q1037371,Q3018855,Q707064,,Q218122,Q269106,Q973228,Q4771947,Q6792645
Q10374867,,,,,,,,
Q10372873,Q5293286,Q703759,,,,,,
Q1036420,Q7145809,Q7145809,,Q259877,Q3304492,Q219402,Q6186355,Q1007206
Q1037699,Q1315839,,,Q1155778,Q237361,Q1192204,Q239389,Q1155626
Q1038109,Q256958,,,Q7156075,Q9369465,Q7931723,Q285769,
Q103815010,Q973127,,,,,,,
Q10381445,Q3077064,Q2059335,,Q3564975,Q4768680,Q5197309,Q609316,Q2502092
Q10381421,,,,,,,,
Q10381476,Q2830622,Q543171,,Q2713545,Q4932828,,,
Q10381619,Q4706406,Q6795186,,Q77298,Q1064691,,,
Q10381583,Q2053311,,,Q1282938,Q3013783,Q3319627,Q15044912,Q1308273
Q103569,Q56005,Q2396324,106285522.0,Q266270,Q283872,Q320093,Q314290,Q200405
